DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DEVI,DFL,DT,FACIES,FLD1,GR,HDRS,HMRS,DEPTH_1,NPHI,PEF,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,LLD,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,SXWI,TDVSS,VCL,WATER_VOL,ZLT
1558.61,3096.5115,3088550.5,nan,8.721,8.721,1.3061,10.8917,152.7607,3.0,nan,43.9254,8.1633,8.1203,1558.61,0.8257,2.2411,nan,0.0109,0.0001,0.01,10133.04,1.5519,8.6028,8.6028,74.0077,-197.9279,1.0,1.0,1.0,-1471.24,0.458,0.0001,19.0
1558.634,3090.0278,3090027.75,nan,8.7204,8.7204,1.3199,10.9369,152.7673,3.0,nan,43.8377,8.2581,8.2169,1558.634,0.8225,2.2468,nan,0.0108,0.0001,0.01,10137.8867,1.5487,8.7893,8.7893,77.4372,-197.927,1.0,1.0,1.0,-1471.264,0.4051,0.0001,19.0
1558.7624,3064.6204,3060277.5,nan,8.7172,8.7172,1.332,11.1789,152.3403,3.0,nan,43.3684,8.7652,8.7341,1558.7625,0.8053,2.182,nan,0.01,0.0001,0.01,10040.2812,1.5317,9.787,9.787,95.7856,-197.9219,1.0,1.0,1.0,-1471.3923,0.122,0.0001,19.0
1558.7864,3054.7168,3054716.75,nan,8.7166,8.7166,1.3343,11.4427,152.2605,3.0,nan,43.0205,8.9857,8.9713,1558.7864,0.8071,2.1699,nan,0.0099,0.0001,0.01,10022.0371,1.526,10.0382,10.0382,101.1021,-197.9209,1.0,1.0,1.0,-1471.4164,0.1044,0.0001,19.0
1558.9148,3008.1438,3006208.25,nan,8.7129,8.7129,1.3249,12.8544,151.5011,3.0,nan,41.1596,10.1658,10.2402,1558.9148,0.8166,2.0541,nan,0.0091,0.0001,0.01,9862.8877,1.4952,11.3818,11.3818,129.5454,-197.9165,1.0,1.0,1.0,-1471.5448,0.01,0.0001,19.0
1558.9388,2997.1414,2997141.25,nan,8.7142,8.7142,1.3231,13.2981,151.3591,3.0,nan,40.7428,10.424,10.5186,1558.9388,0.8179,2.0325,nan,0.009,0.0001,0.01,9833.1406,1.4883,11.6439,11.6439,135.9488,-197.9157,1.0,1.0,1.0,-1471.5687,0.0086,0.0001,19.0
1559.0672,2933.5759,2933764.5,nan,8.721,8.721,1.3707,15.6724,150.823,3.0,nan,38.5129,11.8055,12.0081,1559.0671,0.8249,1.9123,nan,0.0082,0.0001,0.01,9625.2109,1.4516,13.0463,13.0463,170.207,-197.9139,1.0,1.0,1.0,-1471.6971,0.001,0.0001,19.0
1559.0912,2921.9182,2921918.25,nan,8.7244,8.7244,1.3796,16.0882,150.7228,3.0,nan,38.2586,12.0654,12.2857,1559.0912,0.8351,1.8898,nan,0.008,0.0001,0.01,9586.3457,1.4449,13.3224,13.3224,177.893,-197.9136,1.0,1.0,1.0,-1471.7212,0.001,0.0001,19.0
1559.2196,2848.6919,2850166.5,nan,8.7427,8.7427,1.3962,18.3126,150.7452,3.0,nan,36.8981,13.4561,13.7713,1559.2196,0.8894,1.786,nan,0.0073,0.0001,0.01,9350.9404,1.4089,14.7991,14.7991,219.0131,-197.9271,1.0,1.0,1.0,-1471.8496,0.001,0.0001,19.0
1559.2437,2836.699,2836699.0,nan,8.7433,8.7433,1.3993,18.6908,150.7494,3.0,nan,36.8195,13.743,14.0832,1559.2437,0.9049,1.7665,nan,0.0071,0.0001,0.01,9306.7559,1.403,15.0817,15.0817,227.8827,-197.9296,1.0,1.0,1.0,-1471.8737,0.001,0.0001,19.0
