DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DT,FACIES,FLD1,GR,LLD,LLS,LL3,DEPTH_1,NPHI,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,TDVSS,VCL,WATER_VOL,ZLT
1263.9624,5135.1494,5135297.5,nan,10.2419,10.2419,140.5405,0.0,nan,53.7477,1.5494,1.4914,1.6775,1263.9624,0.6405,nan,nan,0.0149,0.0149,16848.0898,2.3678,1.5494,2.4005,10.0599,1.0,1.0,-1192.3724,83.366,0.0149,nan
1264.0054,5156.7534,5156753.5,nan,10.2562,10.2562,140.1935,0.0,nan,53.4259,1.5474,1.4922,1.6714,1264.0054,0.6378,nan,nan,0.0142,0.0142,16918.4824,2.3719,1.5474,2.3946,10.1571,1.0,1.0,-1192.4154,83.0999,0.0142,nan
1264.1148,5226.5273,5228182.5,nan,10.2928,10.2928,138.9289,0.0,nan,52.6073,1.5426,1.4943,1.656,1264.1147,0.631,nan,nan,0.0124,0.0124,17152.8301,2.3823,1.5426,2.3796,10.4044,1.0,1.0,-1192.5248,82.423,0.0124,nan
1264.1578,5256.2578,5256258.0,nan,10.2844,10.2844,138.4319,0.0,nan,51.7081,1.5459,1.4991,1.6771,1264.1577,0.628,nan,nan,0.0134,0.0134,17244.9414,2.3872,1.5459,2.3898,10.4658,1.0,1.0,-1192.5677,81.9781,0.0134,nan
1264.2672,5385.4819,5383852.5,nan,10.2631,10.2631,135.8273,0.0,nan,49.4204,1.5543,1.5114,1.7308,1264.2672,0.6203,nan,nan,0.016,0.016,17663.5586,2.3999,1.5543,2.4158,10.6221,1.0,1.0,-1192.6772,80.846,0.016,nan
1264.3102,5434.0039,5434004.0,nan,10.2495,10.2495,134.8036,0.0,nan,48.607,1.5607,1.5224,1.7495,1264.3102,0.6169,nan,nan,0.0168,0.0168,17828.0977,2.4033,1.5607,2.4359,10.661,1.0,1.0,-1192.7202,80.3486,0.0168,nan
1264.4196,5665.9341,5656505.0,nan,10.2148,10.2148,129.747,0.0,nan,46.5374,1.577,1.5507,1.7968,1264.4196,0.6083,nan,nan,0.019,0.019,18558.0879,2.4119,1.577,2.4871,10.7598,1.0,1.0,-1192.8296,79.083,0.019,nan
1264.4626,5743.9595,5743959.5,nan,10.2026,10.2026,127.7595,0.0,nan,46.0317,1.5809,1.5678,1.8149,1264.4625,0.6041,nan,nan,0.0194,0.0194,18845.0117,2.4076,1.5809,2.4991,10.7956,1.0,1.0,-1192.8726,78.4724,0.0194,nan
1264.572,5914.2778,5897540.5,nan,10.1716,10.1716,123.5243,0.0,nan,44.745,1.5906,1.6113,1.861,1264.572,0.5936,nan,nan,0.0206,0.0206,19348.8867,2.3968,1.5906,2.5299,10.8867,1.0,1.0,-1192.9819,76.919,0.0206,nan
1264.615,5957.9062,5957906.0,nan,10.153,10.153,121.8596,0.0,nan,44.2693,1.5861,1.6227,1.8854,1264.615,0.5885,nan,nan,0.021,0.021,19546.9355,2.382,1.5861,2.5158,10.9439,1.0,1.0,-1193.0249,76.5866,0.021,nan
1264.7244,5956.354,5941854.0,nan,10.1059,10.1059,119.9569,0.0,nan,43.0591,1.5748,1.6518,1.9475,1264.7244,0.5756,nan,nan,0.0219,0.0219,19494.2715,2.3442,1.5748,2.48,11.0893,1.0,1.0,-1193.1344,75.741,0.0219,nan
1264.7674,5935.5449,5935545.0,nan,10.121,10.121,119.2091,0.0,nan,42.494,1.5603,1.6455,1.9628,1264.7673,0.5706,nan,nan,0.0219,0.0219,19473.5723,2.3214,1.5603,2.4352,11.1915,1.0,1.0,-1193.1774,75.8166,0.0219,nan
1264.8768,5689.4048,5690609.5,nan,10.1595,10.1595,121.2652,0.0,nan,41.0564,1.5235,1.6295,2.0017,1264.8768,0.5577,nan,nan,0.0218,0.0218,18669.9785,2.2635,1.5235,2.3211,11.4515,1.0,1.0,-1193.2867,76.009,0.0218,nan
1264.9198,5594.3369,5594337.0,nan,10.2125,10.2125,122.0734,0.0,nan,40.6504,1.5009,1.6037,1.9835,1264.9198,0.5549,nan,nan,0.0214,0.0214,18354.123,2.2406,1.5009,2.254,11.6016,1.0,1.0,-1193.3297,76.4585,0.0214,nan
1265.0292,5217.3716,5235472.0,nan,10.3474,10.3474,127.4764,0.0,nan,39.6175,1.4433,1.5381,1.9372,1265.0292,0.5479,nan,nan,0.0204,0.0204,17176.7441,2.1821,1.4433,2.0832,11.9837,1.0,1.0,-1193.4392,77.602,0.0204,nan
1265.0722,5094.4189,5094419.0,nan,10.4009,10.4009,129.6001,0.0,nan,39.5014,1.4168,1.5009,1.8948,1265.0721,0.5491,nan,nan,0.0198,0.0198,16713.9727,2.1661,1.4168,2.009,12.1896,1.0,1.0,-1193.4822,78.2659,0.0198,nan
1265.1816,4738.7026,4760118.0,nan,10.5372,10.5372,136.7222,0.0,nan,39.206,1.3492,1.4062,1.7871,1265.1816,0.5522,nan,nan,0.0182,0.0182,15617.1846,2.1256,1.3492,1.8203,12.7134,1.0,1.0,-1193.5916,79.955,0.0182,nan
1265.2246,4628.7197,4628720.0,nan,10.5953,10.5953,139.5216,0.0,nan,39.6819,1.322,1.3672,1.7288,1265.2246,0.556,nan,nan,0.0176,0.0176,15186.0889,2.1188,1.322,1.7496,12.9487,1.0,1.0,-1193.6345,80.6813,0.0176,nan
1265.334,4432.5024,4444324.0,nan,10.7433,10.7433,144.5043,0.0,nan,40.8927,1.2529,1.268,1.5806,1265.334,0.5659,nan,nan,0.0159,0.0159,14581.1152,2.1014,1.2529,1.5696,13.5474,1.0,1.0,-1193.744,82.529,0.0159,nan
1265.377,4371.8467,4371846.5,nan,10.8009,10.8009,146.4628,0.0,nan,41.7067,1.2267,1.2339,1.5204,1265.377,0.57,nan,nan,0.0153,0.0153,14343.3281,2.1008,1.2267,1.5066,13.7995,1.0,1.0,-1193.787,83.1407,0.0153,nan
1265.4864,4261.5195,4266663.0,nan,10.9473,10.9473,150.1334,0.0,nan,43.7779,1.1602,1.1471,1.3672,1265.4863,0.5805,nan,nan,0.0139,0.0139,13998.2373,2.0991,1.1602,1.3462,14.4411,1.0,1.0,-1193.8964,84.697,0.0139,nan
1265.5294,4225.3198,4225320.0,nan,10.9662,10.9662,151.5762,0.0,nan,44.5826,1.1362,1.1208,1.3265,1265.5293,0.5834,nan,nan,0.0136,0.0136,13862.5977,2.1012,1.1362,1.2924,14.6795,1.0,1.0,-1193.9393,85.0635,0.0136,nan
1265.6388,4201.7837,4203333.0,nan,11.0144,11.0144,152.8257,0.0,nan,46.6299,1.0751,1.054,1.2231,1265.6388,0.5907,nan,nan,0.0127,0.0127,13790.4619,2.1068,1.0751,1.1558,15.2861,1.0,1.0,-1194.0488,85.996,0.0127,nan
1265.6818,4194.6909,4194691.0,nan,11.0242,11.0242,153.3168,0.0,nan,47.3222,1.0543,1.0344,1.1995,1265.6818,0.59,nan,nan,0.0129,0.0129,13762.1094,2.11,1.0543,1.1126,15.521,1.0,1.0,-1194.0918,85.8527,0.0129,nan
1265.7912,4226.1289,4226497.0,nan,11.0493,11.0493,152.7639,0.0,nan,49.0834,1.0015,0.9845,1.1394,1265.7911,0.5882,nan,nan,0.0132,0.0132,13866.46,2.1181,1.0015,1.0029,16.1186,1.0,1.0,-1194.2012,85.488,0.0132,nan
1265.8342,4238.9985,4238998.5,nan,11.0765,11.0765,152.5466,0.0,nan,49.7324,0.9846,0.9703,1.1257,1265.8341,0.5843,nan,nan,0.0137,0.0137,13907.4756,2.1215,0.9846,0.9701,16.3237,1.0,1.0,-1194.2441,84.9384,0.0137,nan
1265.9436,4305.9312,4306082.5,nan,11.1457,11.1457,150.7928,0.0,nan,51.3835,0.9416,0.9341,1.0908,1265.9436,0.5744,nan,nan,0.015,0.015,14127.5674,2.1303,0.9416,0.8866,16.8453,1.0,1.0,-1194.3536,83.54,0.015,nan
1265.9866,4332.4502,4332450.0,nan,11.1693,11.1693,150.1034,0.0,nan,51.6592,0.9288,0.9242,1.0864,1265.9866,0.5716,nan,nan,0.0153,0.0153,14214.0752,2.1336,0.9288,0.863,17.0025,1.0,1.0,-1194.3966,83.1357,0.0153,nan
1266.096,4396.9146,4396727.5,nan,11.2294,11.2294,148.4884,0.0,nan,52.3604,0.8962,0.8991,1.0751,1266.0959,0.5645,nan,nan,0.0163,0.0163,14424.959,2.142,0.8962,0.8031,17.4025,1.0,1.0,-1194.506,82.107,0.0163,nan
1266.139,4421.9922,4421992.0,nan,11.2239,11.2239,147.8536,0.0,nan,52.4444,0.887,0.893,1.0731,1266.1389,0.5658,nan,nan,0.0162,0.0162,14507.8477,2.145,0.887,0.7869,17.5173,1.0,1.0,-1194.549,82.2097,0.0162,nan
1266.2484,4471.0078,4470275.0,nan,11.21,11.21,146.7544,0.0,nan,52.6581,0.8636,0.8773,1.068,1266.2484,0.5691,nan,nan,0.0159,0.0159,14666.2568,2.1527,0.8636,0.7458,17.8096,1.0,1.0,-1194.6584,82.471,0.0159,nan
1266.2914,4489.2529,4489253.0,nan,11.1967,11.1967,146.3223,0.0,nan,52.4782,0.8571,0.8737,1.0718,1266.2914,0.5722,nan,nan,0.0156,0.0156,14728.5195,2.1551,0.8571,0.7348,17.8943,1.0,1.0,-1194.7014,82.7997,0.0156,nan
1266.4008,4517.481,4515738.5,nan,11.1629,11.1629,145.8235,0.0,nan,52.0205,0.8406,0.8646,1.0817,1266.4008,0.5803,nan,nan,0.0149,0.0149,14815.415,2.1613,0.8406,0.7066,18.11,1.0,1.0,-1194.8108,83.636,0.0149,nan
