DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DFL,DT,FACIES,FLD1,GR,HDRS,HMRS,DEPTH_1,NPHI,ONE-WAYTIME1,PERF_INT,PERMEABILITY,PIGN,PIGN_MODELLING,PIMP,RHOB,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,TDVSS,VCL,WATER_VOL,ZLT
1374.248,6129.7358,6129736.0,nan,9.2845,9.2845,1.5129,119.084,0.0,nan,75.4734,1.4075,1.3877,1374.2479,0.4959,-625.1839,nan,0.1071,0.0385,0.0385,20110.6816,2.3949,1.5129,2.2888,261.5966,1.0,1.0,-1295.7579,57.602,0.0385,1.0
1374.4004,6185.4741,6185474.0,nan,9.2273,9.2273,1.5608,117.2693,0.0,nan,77.7523,1.4827,1.4641,1374.4004,0.4766,-625.2574,nan,0.1427,0.0409,0.0409,20293.5488,2.3798,1.5608,2.4361,260.065,1.0,1.0,-1295.9104,54.987,0.0409,1.0
1374.5528,6308.8838,6308883.5,nan,9.1853,9.1853,1.6762,115.2816,0.0,nan,79.1866,1.587,1.5862,1374.5527,0.4569,-625.331,nan,0.1154,0.0366,0.0366,20698.4375,2.3861,1.6762,2.8096,258.3886,1.0,1.0,-1296.0627,53.013,0.0366,1.0
1374.7052,6677.7124,6677712.0,nan,9.1807,9.1807,1.8012,110.9907,0.0,nan,79.1167,1.6764,1.6851,1374.7052,0.4336,-625.4045,nan,0.0463,0.0255,0.0255,21908.5039,2.4316,1.8012,3.2444,256.27,1.0,1.0,-1296.2152,52.223,0.0255,1.0
1374.8576,7278.8159,7278816.0,nan,9.171,9.171,1.8827,104.5374,0.0,nan,77.0096,1.7619,1.7441,1374.8575,0.411,-625.478,nan,0.0437,0.0236,0.0236,23880.6309,2.4964,1.8827,3.5444,254.3408,1.0,1.0,-1296.3676,51.398,0.0236,1.0
1375.01,7757.8618,7757862.0,nan,9.1349,9.1349,1.9471,99.2617,0.0,nan,72.6902,1.9207,1.8582,1375.01,0.3982,-625.5516,nan,0.108,0.031,0.031,25452.3027,2.5264,1.9471,3.7914,252.6481,1.0,1.0,-1296.52,50.557,0.031,1.0
1375.1624,7731.8374,7731837.5,nan,9.1139,9.1139,2.2603,98.7262,0.0,nan,67.2038,2.3302,2.3227,1375.1624,0.4026,-625.6251,nan,0.2711,0.043,0.043,25366.9199,2.5044,2.2603,5.1089,251.1295,1.0,1.0,-1296.6724,50.479,0.043,1.0
1375.3148,7150.6611,7150661.0,nan,9.132,9.132,3.6137,103.8991,0.0,nan,63.0543,3.0127,3.1228,1375.3148,0.4253,-625.6986,nan,0.2165,0.0431,0.0431,23460.1738,2.4375,3.6137,13.0588,250.7501,1.0,1.0,-1296.8248,52.581,0.0431,1.0
1375.4672,6454.3613,6454361.5,nan,9.1706,9.1706,5.7436,111.5192,0.0,nan,62.4871,3.3878,3.3846,1375.4672,0.4539,-625.7722,nan,0.1349,0.0405,0.0405,21175.7266,2.3615,5.7436,32.9889,251.3439,1.0,1.0,-1296.9772,55.482,0.0405,1.0
1375.6196,6031.8228,6031823.0,nan,9.2056,9.2056,5.5928,117.4353,0.0,nan,65.3582,3.0217,2.8594,1375.6196,0.4774,-625.8457,nan,0.0919,0.0378,0.0378,19789.4453,2.324,5.5928,31.2799,252.1321,1.0,1.0,-1297.1296,58.463,0.0378,1.0
1375.772,5861.0112,5861011.0,nan,9.2654,9.2654,3.5718,120.2223,0.0,nan,69.1982,2.2611,2.1023,1375.772,0.4976,-625.9193,nan,0.0653,0.0348,0.0348,19229.0391,2.3118,3.5718,12.758,253.3068,1.0,1.0,-1297.282,61.73,0.0348,1.0
1375.9244,5736.5659,5736566.0,nan,9.3754,9.3754,2.2844,121.96,0.0,nan,72.1733,1.8433,1.7907,1375.9244,0.5213,-625.9927,nan,0.0413,0.0316,0.0316,18820.7539,2.2954,2.2844,5.2185,254.7139,1.0,1.0,-1297.4343,65.22,0.0316,1.0
1376.0768,5570.1538,5570154.0,nan,9.5448,9.5448,1.9055,124.7347,0.0,nan,73.766,1.7394,1.7473,1376.0768,0.5481,-626.0663,nan,0.0238,0.0286,0.0286,18274.7832,2.2795,1.9055,3.6309,256.2425,1.0,1.0,-1297.5868,68.573,0.0286,1.0
1376.2292,5401.564,5401564.0,nan,9.7359,9.7359,1.9739,128.6414,0.0,nan,73.5194,1.7023,1.7514,1376.2291,0.5731,-626.1398,nan,0.0139,0.0259,0.0259,17721.666,2.2797,1.9739,3.8961,258.6053,1.0,1.0,-1297.7391,71.485,0.0259,1.0
1376.3816,5262.272,5262272.0,nan,9.8643,9.8643,2.0245,132.4734,0.0,nan,71.9993,1.5432,1.5955,1376.3816,0.5937,-626.2133,nan,0.0089,0.0238,0.0238,17264.6719,2.2871,2.0245,4.0986,261.3833,1.0,1.0,-1297.8916,73.791,0.0238,1.0
1376.534,5140.2725,5140272.5,nan,9.9206,9.9206,1.7745,135.5126,0.0,nan,70.5212,1.2984,1.3122,1376.5339,0.6094,-626.2869,nan,0.0061,0.0221,0.0221,16864.4121,2.2853,1.7745,3.149,264.011,1.0,1.0,-1298.0439,75.667,0.0221,1.0
1376.6864,5037.728,5037728.0,nan,9.9622,9.9622,1.4432,137.6055,0.0,nan,69.0111,1.1523,1.1422,1376.6864,0.623,-626.3604,nan,0.0041,0.0206,0.0206,16527.9805,2.2743,1.4432,2.0827,266.3792,1.0,1.0,-1298.1964,77.355,0.0206,1.0
1376.8388,4964.0688,4964069.0,nan,10.0233,10.0233,1.2973,138.8878,0.0,nan,67.3903,1.1052,1.1027,1376.8387,0.6363,-626.434,nan,0.0029,0.0197,0.0197,16286.3154,2.262,1.2973,1.6829,267.8155,1.0,1.0,-1298.3488,78.376,0.0197,1.0
1376.9912,4914.769,4914769.0,nan,10.0951,10.0951,1.2502,139.2564,0.0,nan,66.9071,1.0667,1.0755,1376.9912,0.6445,-626.5074,nan,0.0026,0.0202,0.0202,16124.5703,2.2455,1.2502,1.563,268.3846,1.0,1.0,-1298.5012,77.802,0.0202,1.0
1377.1436,4928.4106,4928411.0,nan,10.105,10.105,1.1953,138.1888,0.0,nan,67.9545,1.0359,1.0443,1377.1436,0.6391,-626.581,nan,0.0038,0.0223,0.0223,16169.3271,2.2344,1.1953,1.4287,268.7967,1.0,1.0,-1298.6536,75.476,0.0223,1.0
1377.296,5041.752,5041752.0,nan,9.9274,9.9274,1.1309,135.6239,0.0,nan,70.0248,1.0285,1.0371,1377.296,0.6188,-626.6545,nan,0.0076,0.0252,0.0252,16541.1816,2.2434,1.1309,1.279,268.8019,1.0,1.0,-1298.806,72.24,0.0252,1.0
1377.4484,5258.8921,5258892.0,nan,9.6177,9.6177,1.1233,131.6747,0.0,nan,72.5494,1.056,1.064,1377.4484,0.5914,-626.7281,nan,0.0156,0.0281,0.0281,17253.584,2.2719,1.1233,1.2619,268.1853,1.0,1.0,-1298.9584,69.077,0.0281,1.0
1377.6008,5571.5127,5571512.5,nan,9.3552,9.3552,1.1875,126.7257,0.0,nan,75.0551,1.1248,1.1345,1377.6008,0.5648,-626.8016,nan,0.0279,0.0304,0.0304,18279.2402,2.3164,1.1875,1.4103,267.4936,1.0,1.0,-1299.1108,66.538,0.0304,1.0
1377.7532,5891.1772,5891177.5,nan,9.246,9.246,1.3152,122.0477,0.0,nan,77.2312,1.2484,1.2652,1377.7532,0.5439,-626.8751,nan,0.0406,0.0318,0.0318,19328.0098,2.3589,1.3152,1.7297,266.399,1.0,1.0,-1299.2632,64.962,0.0318,1.0
1377.9056,6060.7832,6060783.0,nan,9.2173,9.2173,1.544,119.182,0.0,nan,77.8894,1.4377,1.4607,1377.9056,0.5333,-626.9487,nan,1.4682,0.1021,0.1021,19884.459,2.3699,1.544,2.3841,264.7852,1.0,1.0,-1299.4155,55.341,0.1021,1.0
1378.058,6038.5347,6038534.5,nan,9.2212,9.2212,1.8809,118.5849,0.0,nan,76.7276,1.643,1.6786,1378.058,0.5335,-627.0222,nan,17.3793,0.2331,0.2331,19811.4648,2.3493,1.8809,3.538,263.3689,0.9894,0.9894,-1299.568,38.668,0.2306,1.0
1378.2104,5898.8057,5898806.0,nan,9.2334,9.2334,2.2409,120.0318,0.0,nan,75.1363,1.7895,1.8235,1378.2103,0.5407,-627.0957,nan,19.8305,0.2521,0.2521,19353.0371,2.323,2.2409,5.0215,262.44,0.9694,0.9694,-1299.7203,37.882,0.2444,1.0
1378.3628,5722.7368,5722737.0,nan,9.2613,9.2613,2.478,123.0457,0.0,nan,73.4944,1.8599,1.8773,1378.3628,0.5505,-627.1693,nan,15.3117,0.2409,0.2409,18775.3828,2.3102,2.478,6.1406,262.3201,0.9759,0.9759,-1299.8728,41.406,0.2351,1.0
1378.5152,5553.1675,5553167.5,nan,9.3145,9.3145,2.5764,126.6613,0.0,nan,71.7314,1.8253,1.8625,1378.5151,0.5571,-627.2428,nan,15.2818,0.2456,0.2456,18219.0527,2.3076,2.5764,6.6379,263.3953,0.9953,0.9953,-1300.0251,40.209,0.2444,1.0
1378.6676,5454.0552,5454055.0,nan,9.3518,9.3518,2.4155,129.1989,0.0,nan,70.5596,1.6823,1.7195,1378.6676,0.5541,-627.3163,nan,19.0989,0.2594,0.2594,17893.8828,2.3119,2.4155,5.8348,264.7812,0.9998,0.9998,-1300.1776,35.564,0.2593,1.0
1378.82,5485.2627,5485262.5,nan,9.341,9.341,1.9584,129.2307,0.0,nan,69.7716,1.4827,1.4769,1378.8199,0.5378,-627.3898,nan,23.0585,0.2594,0.2594,17996.2676,2.3257,1.9584,3.8352,265.6841,1.0,1.0,-1300.33,32.786,0.2594,1.0
1378.9724,5646.6294,5646629.0,nan,9.2996,9.2996,1.5415,126.8579,0.0,nan,69.0731,1.3252,1.3074,1378.9724,0.5141,-627.4634,nan,28.5633,0.2575,0.2575,18525.6855,2.3501,1.5415,2.3763,265.6433,1.0,1.0,-1300.4824,30.114,0.2575,1.0
1379.1248,5842.9883,5842988.0,nan,9.2613,9.2613,1.3754,123.4581,0.0,nan,69.095,1.3155,1.3042,1379.1248,0.4907,-627.5369,nan,36.3867,0.2618,0.2618,19169.9082,2.3667,1.3754,1.8917,263.9221,1.0,1.0,-1300.6348,26.926,0.2618,1.0
1379.2772,5928.4507,5928451.0,nan,9.2548,9.2548,1.4107,121.2989,0.0,nan,69.9528,1.4445,1.4395,1379.2772,0.4733,-627.6104,nan,42.8748,0.2673,0.2673,19450.2988,2.3593,1.4107,1.99,260.9951,1.0,1.0,-1300.7872,24.441,0.2673,1.0
1379.4296,5899.9507,5899950.5,nan,9.2824,9.2824,1.6196,121.0929,0.0,nan,71.1462,1.6324,1.6386,1379.4296,0.4643,-627.684,nan,43.9285,0.2671,0.2671,19356.793,2.344,1.6196,2.6231,257.9362,1.0,1.0,-1300.9396,24.03,0.2671,1.0
