DEPTH,ACOUSTICIMPEDANCE1,AVG_PIGN,CALI,CALI[DERIVED]1,DFL,DT,FACIES,FLD1,GR,HDRS,HMRS,NPHI,PERF_INT,PIGN,PIGN_MODELLING,RHOB,SP,SUWI,SUWI_MODELLING,TDVSS,VCL,ZLT
1094.7368,4109.3657,nan,8.9868,8.9868,1.3187,152.287,nan,nan,60.1564,1.0647,1.0697,0.5631,nan,0.0223,0.0223,2.0532,271.9866,1.0,1.0,-1016.1168,82.909,nan
1094.8892,4118.2754,nan,9.0167,9.0167,1.2877,152.8546,nan,nan,59.121,1.0519,1.0586,0.5829,nan,0.0199,0.0199,2.0653,271.7553,1.0,1.0,-1016.2692,84.711,nan
1095.0416,4118.7329,nan,9.0756,9.0756,1.2591,153.2017,nan,nan,58.0865,1.0437,1.0506,0.6133,nan,0.0175,0.0175,2.0702,271.6262,1.0,1.0,-1016.4216,86.556,nan
1095.194,4108.0771,nan,9.1542,9.1542,1.2571,153.1866,nan,nan,57.1773,1.0243,1.0299,0.6419,nan,0.0167,0.0167,2.0646,271.6169,1.0,1.0,-1016.574,87.206,nan
1095.3464,4108.6196,nan,9.2487,9.2487,1.2005,153.0781,nan,nan,56.2114,1.0074,1.0137,0.6534,nan,0.0169,0.0169,2.0634,271.6594,1.0,1.0,-1016.7264,87.014,nan
1095.4988,4149.2153,nan,9.2011,9.2011,1.1529,153.2751,nan,nan,55.0899,1.0051,1.0094,0.6452,nan,0.0179,0.0179,2.0865,271.6478,1.0,1.0,-1016.8788,86.266,nan
1095.6512,4181.6284,nan,8.872,8.872,1.154,153.8487,nan,nan,54.5067,1.0123,1.0193,0.6277,nan,0.0186,0.0186,2.1107,271.5022,1.0,1.0,-1017.0312,85.744,nan
1095.8036,4177.7856,nan,8.4778,8.4778,1.167,154.1624,nan,nan,54.6883,1.0225,1.032,0.6137,nan,0.0186,0.0186,2.113,271.1788,1.0,1.0,-1017.1836,85.73,nan
1095.956,4246.4336,nan,8.3881,8.3881,1.1838,152.1368,nan,nan,55.0419,1.0365,1.0471,0.6146,nan,0.0214,0.0214,2.1195,270.9209,1.0,1.0,-1017.336,83.563,nan
1096.1084,4394.4648,nan,8.485,8.485,1.1996,145.5915,nan,nan,55.3138,1.1106,1.1243,0.6282,nan,0.0268,0.0268,2.0991,270.8808,1.0,1.0,-1017.4884,79.437,nan
1096.2608,4555.043,nan,8.5911,8.5911,1.5252,137.2109,nan,nan,55.7605,1.3671,1.398,0.647,nan,0.0316,0.0316,2.0505,271.0361,1.0,1.0,-1017.6408,75.797,nan
1096.4132,4720.9468,nan,8.6485,8.6485,2.0735,132.2528,nan,nan,56.9608,1.7774,1.8631,0.6647,nan,0.0342,0.0342,2.0484,271.4174,1.0,1.0,-1017.7932,73.759,nan
1096.5656,4760.0967,nan,8.7343,8.7343,2.5985,132.6705,nan,nan,58.7031,1.7008,1.7524,0.6774,nan,0.0325,0.0325,2.0719,271.7926,1.0,1.0,-1017.9456,75.041,nan
1096.718,4550.4575,nan,8.7681,8.7681,2.0811,138.6794,nan,nan,60.4988,1.3133,1.3102,0.678,nan,0.0261,0.0261,2.0704,271.8279,1.0,1.0,-1018.098,79.973,nan
1096.8704,4258.9961,nan,8.7406,8.7406,1.4466,146.7987,nan,nan,61.9019,1.094,1.0874,0.669,nan,0.0191,0.0191,2.0512,271.6511,1.0,1.0,-1018.2504,85.386,nan
