DEPTH,ACOUSTICIMPEDANCE1,AI,BS,CALI,CALI[DERIVED]1,DRES,DT,DT2,DT4P,FACIES,FLD1,GR,GR_EDTC,LLD,LLS,M2R2,LLS_1,LLD_1,DEPTH_1,MSFL,NPHI,PERF_INT,PIMP,PR,RHOB,RT_MODELLING,RT_POWER,SP,TDVSS,TENS,VPVS,ZLT
1428.7498,6082.481,6082442.0,8.5,10.4619,10.4619,2.5305,120.5173,269.2662,120.5173,0.0,nan,34.1474,85.731,2.5305,2.1229,nan,nan,nan,1428.7498,2.0498,0.389,nan,19955.5195,0.3748,2.405,2.5305,6.4034,-69.0491,-1246.405,1888.9843,2.2343,0.0
1428.9022,5937.2217,5937255.5,8.5,10.2884,10.2884,2.4508,122.2337,289.7427,122.2337,0.0,nan,39.6135,90.3445,2.4508,2.0478,nan,nan,nan,1428.9021,1.5957,0.395,nan,19479.1836,0.3918,2.381,2.4508,6.0064,-68.6328,-1246.5121,1905.9777,2.3704,0.0
1429.0546,5853.4854,5853559.5,8.5,10.0888,10.0888,2.327,123.2273,301.9956,123.2273,0.0,nan,43.2573,92.4124,2.327,1.9398,nan,nan,nan,1429.0546,1.5871,0.4161,nan,19204.5918,0.4001,2.3665,2.327,5.4149,-67.9942,-1246.6191,1868.0499,2.4507,0.0
1429.207,5927.3564,5927398.5,8.5,10.0343,10.0343,2.241,122.1081,294.0675,122.1081,0.0,nan,43.0383,98.2877,2.241,1.8654,nan,nan,nan,1429.2069,1.6246,0.4353,nan,19446.8457,0.3958,2.3746,2.241,5.0221,-67.1952,-1246.7262,1898.9594,2.4083,0.0
1429.3594,6101.5522,6101516.0,8.5,10.1417,10.1417,2.241,119.646,279.6914,119.646,0.0,nan,44.9553,98.6661,2.241,1.8588,nan,nan,nan,1429.3594,2.0339,0.4311,nan,20018.0957,0.388,2.3951,2.241,5.0221,-66.556,-1246.8334,1883.021,2.3377,0.0
1429.5118,6228.0571,6228002.0,8.5,10.2133,10.2133,2.3141,117.6122,299.9362,117.6122,0.0,nan,44.4831,100.1286,2.314,1.9079,nan,nan,nan,1429.5117,2.0859,0.4093,nan,20433.0781,0.4092,2.4032,2.314,5.3546,-66.0979,-1246.9404,1883.0,2.5502,0.0
1429.6642,6201.9888,6202000.5,8.5,10.2717,10.2717,2.4001,117.6691,296.2866,117.6691,0.0,nan,45.304,89.557,2.4001,1.9768,nan,nan,nan,1429.6642,2.0638,0.4016,nan,20347.7695,0.4064,2.3943,2.4001,5.7605,-65.7636,-1247.0475,1903.9724,2.5179,0.0
1429.8166,6205.064,6205095.5,8.5,10.3071,10.3071,2.468,117.3357,286.22,117.3357,0.0,nan,51.3005,91.9147,2.468,2.0413,nan,nan,nan,1429.8165,1.5417,0.4082,nan,20357.9238,0.399,2.3887,2.468,6.091,-65.7913,-1247.1427,1890.0184,2.4393,0.0
1429.969,6098.5151,6098532.0,8.5,10.2818,10.2818,2.5048,119.5657,255.4832,119.5657,0.0,nan,54.1941,92.481,2.5048,2.0863,nan,nan,nan,1429.969,1.6966,0.411,nan,20008.3066,0.3598,2.3923,2.5048,6.274,-66.1726,-1247.2377,1928.9489,2.1368,0.0
1430.1214,6253.6836,6253671.0,8.5,10.2657,10.2657,2.5479,116.984,236.478,116.984,0.0,nan,54.5991,96.6508,2.5479,2.1362,nan,nan,nan,1430.1213,2.1015,0.4073,nan,20517.293,0.338,2.4002,2.5479,6.4918,-66.9155,-1247.3325,1888.0538,2.0215,0.0
1430.2738,6199.2358,6199211.5,8.5,10.292,10.292,2.6465,118.1541,229.262,118.1541,0.0,nan,55.3698,91.6655,2.6465,2.2249,nan,nan,nan,1430.2738,2.2935,0.4125,nan,20338.6211,0.3191,2.4031,2.6465,7.004,-67.8186,-1247.4274,1917.9606,1.9404,0.0
1430.4262,6065.2012,6065160.0,8.5,10.3454,10.3454,2.7623,120.534,220.632,120.534,0.0,nan,55.1906,91.099,2.7622,2.3221,nan,nan,nan,1430.4261,2.4094,0.4272,nan,19898.8203,0.2872,2.3985,2.7622,7.6297,-68.6103,-1247.5222,1909.0118,1.8304,0.0
1430.5786,5901.2632,5901210.0,8.5,10.3815,10.3815,2.8187,122.9527,212.2583,122.9527,0.0,nan,54.5984,93.2011,2.8187,2.3684,nan,nan,nan,1430.5786,2.5695,0.4368,nan,19360.9277,0.2475,2.3805,2.8187,7.9451,-69.3117,-1247.6171,1919.9856,1.7263,0.0
1430.731,5591.2759,5591269.0,8.5,10.3973,10.3973,2.7737,127.8287,232.7464,127.8287,0.0,nan,54.4305,96.4569,2.7737,2.3293,nan,nan,nan,1430.731,2.1848,0.4366,nan,18344.0586,0.2841,2.3449,2.7737,7.6934,-69.9164,-1247.712,1905.0197,1.8208,0.0
1430.8834,5406.8887,5406939.5,8.5,10.4524,10.4524,2.6228,129.7808,253.4404,129.7808,0.0,nan,53.7108,93.7705,2.6228,2.1926,nan,nan,nan,1430.8833,1.5178,0.439,nan,17739.3047,0.3222,2.3022,2.6228,6.8791,-70.3398,-1247.8069,1922.9763,1.9528,0.0
1431.0358,5261.7451,5261810.5,8.5,10.5869,10.5869,2.4152,131.7968,294.7411,131.7968,0.0,nan,53.2675,92.3332,2.4152,2.0054,nan,nan,nan,1431.0358,1.18,0.4468,nan,17263.1582,0.375,2.2752,2.4152,5.8332,-70.6528,-1247.9017,1926.9948,2.2363,0.0
1431.1882,5261.8223,5261851.0,8.5,10.6842,10.6842,2.21,131.4125,284.7541,131.4125,0.0,nan,53.366,86.0517,2.21,1.8232,nan,nan,nan,1431.1881,1.1241,0.4504,nan,17263.291,0.3647,2.2686,2.21,4.8841,-70.7776,-1247.9966,1905.0289,2.1669,0.0
1431.3406,5371.1309,5371123.0,8.5,10.6381,10.6381,2.07,128.9027,277.1642,128.9027,0.0,nan,53.5961,85.266,2.07,1.6968,nan,nan,nan,1431.3406,1.0614,0.4506,nan,17621.7949,0.362,2.2715,2.07,4.2849,-70.8611,-1248.0914,1928.9685,2.1502,0.0
1431.493,5401.8281,5401838.0,8.5,10.5182,10.5182,2.0154,128.1363,283.5364,128.1363,0.0,nan,53.5895,85.0704,2.0154,1.6376,nan,nan,nan,1431.4929,1.0838,0.4565,nan,17722.5664,0.3717,2.2709,2.0154,4.0618,-70.9512,-1248.1863,1936.9895,2.2128,0.0
1431.6454,5432.3101,5432321.5,8.5,10.574,10.574,2.0187,127.552,281.3084,127.552,0.0,nan,53.9208,88.9975,2.0187,1.6303,nan,nan,nan,1431.6454,1.1333,0.4663,nan,17822.5762,0.3706,2.2733,2.0187,4.0751,-71.0347,-1248.2812,1943.9908,2.2054,0.0
1431.7978,5598.0107,5598028.0,8.5,10.8755,10.8755,2.0645,124.1031,324.2783,124.1031,0.0,nan,56.0705,90.0054,2.0645,1.6611,nan,nan,nan,1431.7977,1.1103,0.468,nan,18366.2324,0.4141,2.2793,2.0645,4.2622,-71.0487,-1248.3761,1909.0459,2.613,0.0
1431.9502,5702.4722,5702470.0,8.5,11.046,11.046,2.1295,122.3375,347.9117,122.3375,0.0,nan,58.6337,91.3889,2.1295,1.7104,nan,nan,nan,1431.9502,1.139,0.4639,nan,18708.8926,0.4295,2.2888,2.1295,4.5348,-70.9863,-1248.4709,1781.168,2.8439,0.0
1432.1026,5677.4629,5677476.5,8.5,10.9931,10.9931,2.1949,123.322,344.7909,123.322,0.0,nan,58.8656,92.9169,2.1949,1.7637,nan,nan,nan,1432.1025,1.3425,0.4647,nan,18626.8906,0.4266,2.2971,2.1949,4.8176,-70.8337,-1248.5658,1700.1063,2.7959,0.0
1432.255,5807.0312,5807069.0,8.5,10.8797,10.8797,2.2677,121.2318,331.1301,121.2318,0.0,nan,58.5817,94.2825,2.2677,1.8269,nan,nan,nan,1432.255,1.3256,0.4691,nan,19052.0645,0.4226,2.3097,2.2677,5.1425,-70.5628,-1248.6606,1654.0604,2.7314,0.0
1432.4074,5881.4771,5881507.0,8.5,10.6641,10.6641,2.3494,120.9047,321.1002,120.9047,0.0,nan,59.1633,95.3636,2.3494,1.8966,nan,nan,nan,1432.4073,1.3139,0.475,nan,19296.2832,0.4174,2.333,2.3494,5.5197,-70.2227,-1248.7555,1729.9003,2.6558,0.0
1432.5598,6149.5776,6149572.5,8.5,10.5829,10.5829,2.4426,117.2346,310.0316,117.2346,0.0,nan,60.1818,95.0608,2.4426,1.9761,nan,nan,nan,1432.5598,1.812,0.4601,nan,20175.7637,0.4166,2.3653,2.4426,5.9663,-69.9235,-1248.8505,1750.9724,2.6445,0.0
