DEPTH,ACOUSTICIMPEDANCE1,AI,AVG_PIGN,CALI,CALI[DERIVED]1,DFL,DT,FACIES,FLD1,GR,HDRS,HMRS,DEPTH_1,NPHI,PERF_INT,PERMEABILITY,PHIT,PIGN,PIGN_MODELLING,PIMP,RHOB,LLD,RT_MODELLING,RT_POWER,SP,SUWI,SUWI_MODELLING,SXWI,TDVSS,VCL,WATER_VOL,ZLT
1216.5532,4444.478,4444478.0,nan,9.1633,9.1633,2.4783,165.2011,0.0,nan,54.4505,1.5038,1.54,1216.5532,0.5553,nan,nan,0.1436,0.0595,0.0595,14581.6211,2.4089,1.5,1.5,2.2501,84.1677,1.0,1.0,1.0,-1149.8231,80.838,0.0595,nan
1216.7056,4720.6807,4720680.5,nan,9.366,9.366,2.3046,152.4,0.0,nan,52.9096,1.3966,1.4243,1216.7056,0.5573,nan,nan,0.1382,0.0615,0.0615,15487.7969,2.3603,1.3942,1.3942,1.9438,84.4138,1.0,1.0,1.0,-1149.9756,80.17,0.0615,nan
1216.858,4518.1406,4518140.5,nan,9.3835,9.3835,1.8971,152.4,0.0,nan,52.2096,1.2497,1.2587,1216.8579,0.5592,nan,nan,0.1786,0.0639,0.0639,14823.2959,2.2591,1.25,1.25,1.5624,84.4449,1.0,1.0,1.0,-1150.1279,79.406,0.0639,nan
1217.0104,4261.4199,4261420.0,nan,9.4413,9.4413,1.5836,152.4,0.0,nan,53.192,1.1456,1.1434,1217.0104,0.5622,nan,nan,0.2311,0.0689,0.0689,13981.0361,2.1307,1.1467,1.1467,1.3149,84.3741,1.0,1.0,1.0,-1150.2804,77.811,0.0689,nan
1217.1628,4077.6001,4077600.25,nan,9.5642,9.5642,1.4789,152.4,0.0,nan,54.6117,1.0841,1.0866,1217.1627,0.567,nan,nan,0.2449,0.0689,0.0689,13377.9531,2.0388,1.0846,1.0846,1.1764,84.1608,1.0,1.0,1.0,-1150.4327,77.808,0.0689,nan
1217.3152,3586.9966,3586996.5,nan,9.6495,9.6495,1.3462,170.0789,0.0,nan,55.5472,1.0413,1.059,1217.3152,0.5734,nan,nan,0.1346,0.0389,0.0389,11768.3613,2.0015,1.0415,1.0415,1.0848,84.0295,1.0,1.0,1.0,-1150.5852,72.061,0.0389,nan
1217.4676,3366.0664,3366066.5,nan,9.6213,9.6213,1.2238,182.88,0.0,nan,56.3465,1.0074,1.0366,1217.4675,0.5786,nan,nan,0.1705,0.0424,0.0424,11043.5254,2.0196,1.0075,1.0075,1.015,83.9738,1.0,1.0,1.0,-1150.7375,76.564,0.0424,nan
1217.62,3455.3333,3455333.25,nan,9.461,9.461,1.1883,182.88,0.0,nan,56.7275,0.9801,1.0097,1217.62,0.58,nan,nan,0.2386,0.0547,0.0547,11336.3955,2.0732,0.9802,0.9802,0.9609,84.125,1.0,1.0,1.0,-1150.89,81.872,0.0547,nan
1217.7724,3533.9333,3533933.5,nan,9.3175,9.3175,1.1746,182.88,0.0,nan,56.5727,0.9591,0.9799,1217.7723,0.5751,nan,nan,0.2395,0.057,0.057,11594.2695,2.1204,0.9592,0.9592,0.92,84.2145,1.0,1.0,1.0,-1151.0424,81.635,0.057,nan
1217.9248,3561.8667,3561866.5,nan,9.2567,9.2567,1.1677,182.88,0.0,nan,56.7415,0.9417,0.9545,1217.9248,0.5661,nan,nan,0.2374,0.0617,0.0617,11685.9141,2.1371,0.9418,0.9418,0.8869,84.2418,1.0,1.0,1.0,-1151.1948,80.136,0.0617,nan
1218.0772,3547.8667,3547866.75,nan,9.1808,9.1808,1.1546,182.88,0.0,nan,58.1314,0.9369,0.9477,1218.0771,0.5589,nan,nan,0.2413,0.0645,0.0645,11639.9824,2.1287,0.9373,0.9373,0.8785,84.1551,1.0,1.0,1.0,-1151.3472,79.063,0.0645,nan
1218.2296,3909.7908,3909790.75,nan,9.0693,9.0693,1.2163,165.2011,0.0,nan,59.9535,0.9509,0.9657,1218.2296,0.5571,nan,nan,0.2393,0.0561,0.0561,12827.3975,2.1191,0.9513,0.9513,0.905,84.0661,1.0,1.0,1.0,-1151.4995,80.166,0.0561,nan
1218.382,4232.5005,4232500.0,nan,8.9969,8.9969,1.3285,152.4,0.0,nan,60.9548,0.9654,0.9875,1218.382,0.5567,nan,nan,0.2349,0.0483,0.0483,13886.1553,2.1163,0.9652,0.9652,0.9317,84.015,1.0,1.0,1.0,-1151.652,81.281,0.0483,nan
1218.5344,4225.8398,4225840.0,nan,8.9598,8.9598,1.3483,152.4,0.0,nan,61.9095,0.9699,0.9984,1218.5344,0.5524,nan,nan,0.2321,0.0385,0.0385,13864.3037,2.1129,0.9698,0.9698,0.9404,84.1081,1.0,1.0,1.0,-1151.8043,81.959,0.0385,nan
1218.6868,3780.365,3780365.0,nan,9.0499,9.0499,1.3471,170.0789,0.0,nan,62.567,0.9864,1.0221,1218.6868,0.5489,nan,nan,0.2304,0.0311,0.0311,12402.7725,2.1094,0.987,0.987,0.9741,84.5005,1.0,1.0,1.0,-1151.9568,82.396,0.0311,nan
1218.8392,3530.3333,3530333.25,nan,9.3132,9.3132,1.4412,182.88,0.0,nan,61.6258,1.0158,1.0578,1218.8391,0.5579,nan,nan,0.2285,0.0397,0.0397,11582.458,2.1182,1.0159,1.0159,1.032,84.7758,1.0,1.0,1.0,-1152.1091,82.797,0.0397,nan
1218.9916,3931.8203,3931820.25,nan,9.5333,9.5333,1.5388,165.2011,0.0,nan,60.3152,1.0111,1.0485,1218.9916,0.5767,nan,nan,0.2243,0.0434,0.0434,12899.6729,2.131,1.01,1.01,1.02,84.7119,1.0,1.0,1.0,-1152.2616,85.067,0.0434,nan
1219.144,4273.6401,4273640.5,nan,9.526,9.526,1.4006,152.4,0.0,nan,58.4238,0.9737,0.9974,1219.1439,0.5899,nan,nan,0.225,0.0415,0.0415,14021.1299,2.1368,0.9735,0.9735,0.9476,84.1895,1.0,1.0,1.0,-1152.4139,86.572,0.0415,nan
1219.2964,4276.3403,4276340.0,nan,9.3668,9.3668,1.1863,152.4,0.0,nan,55.8797,0.9661,0.9764,1219.2964,0.5889,nan,nan,0.2308,0.047,0.047,14029.9873,2.1382,0.9673,0.9673,0.9356,83.6555,1.0,1.0,1.0,-1152.5664,84.854,0.047,nan
1219.4488,4262.3403,4262340.0,nan,9.2669,9.2669,1.1719,152.4,0.0,nan,54.8786,1.0055,1.0081,1219.4487,0.5758,nan,nan,0.2367,0.0581,0.0581,13984.0557,2.1312,1.0063,1.0063,1.0125,83.3717,1.0,1.0,1.0,-1152.7188,81.267,0.0581,nan
1219.6012,4246.7803,4246780.0,nan,9.2954,9.2954,1.2802,152.4,0.0,nan,55.4093,1.0425,1.0448,1219.6012,0.5605,nan,nan,0.2398,0.0682,0.0682,13933.0059,2.1234,1.0419,1.0419,1.0855,83.6715,1.0,1.0,1.0,-1152.8712,78.015,0.0682,nan
1219.7536,4265.7407,4265740.5,nan,9.3816,9.3816,1.3375,152.4,0.0,nan,56.3125,1.0267,1.0351,1219.7535,0.5498,nan,nan,0.2379,0.0733,0.0733,13995.2119,2.1329,1.0254,1.0254,1.0515,84.3247,1.0,1.0,1.0,-1153.0236,76.396,0.0733,nan
1219.906,4305.52,4305520.0,nan,9.4236,9.4236,1.2898,152.4,0.0,nan,57.3084,0.9607,0.9797,1219.906,0.5458,nan,nan,0.2341,0.073,0.073,14125.7227,2.1528,0.9599,0.9599,0.9214,85.0289,1.0,1.0,1.0,-1153.176,76.48,0.073,nan
1220.0584,3873.5188,3873518.75,nan,9.3453,9.3453,1.1662,170.0789,0.0,nan,57.0695,0.8934,0.9211,1220.0583,0.5446,nan,nan,0.2358,0.0741,0.0741,12708.3945,2.1614,0.8938,0.8938,0.7989,85.4101,1.0,1.0,1.0,-1153.3284,76.124,0.0741,nan
1220.2108,3597.9333,3597933.25,nan,9.1778,9.1778,1.0529,182.88,0.0,nan,55.2014,0.8673,0.8978,1220.2108,0.539,nan,nan,0.2424,0.0815,0.0815,11804.2432,2.1588,0.8684,0.8684,0.754,85.332,1.0,1.0,1.0,-1153.4807,73.755,0.0815,nan
1220.3632,3604.7502,3604750.25,nan,9.0939,9.0939,1.0267,182.88,0.0,nan,53.2499,0.9045,0.9349,1220.3632,0.525,nan,nan,0.2459,0.0938,0.0938,11826.6084,2.1629,0.9059,0.9059,0.8206,85.1003,1.0,1.0,1.0,-1153.6332,69.784,0.0938,nan
